Gene Name,GeneIDs
AHK2,AT5G35750
AHK3,AT1G27320
CRE1/AHK4,AT2G01830
AHP1,AT3G21510
AHP2,AT3G29350
AHP3,AT5G39340
AHP4,AT3G16360
AHP5,AT1G03430
AHP1,AT3G21510
AHP2,AT3G29350
AHP3,AT5G39340
AHP4,AT3G16360
AHP5,AT1G03430
ARR3,AT1G59940
ARR4,AT1G10470
ARR5,AT3G48100
ARR6,AT5G62920
ARR7,AT1G19050
ARR8,AT2G41310
ARR9,AT3G57040
ARR15,AT1G74890
ARR16,AT2G40670
ARR17,AT3G56380
ARR22,AT3G04280
CKX3,AT5G56970
CRF5,AT2G46310
GATA22,AT4G26150
CKX4,AT4G29740
CRF2,AT4G23750
ACR4,AT1G69040
ACR8,AT1G12420
UGT76C2,AT5G05860
